Date,Open,High,Low,Close,Volume,Change
12-05-2018,1239.10,1240.80,1241.10,1236.40,1.12K,-0.34%
12-04-2018,1243.30,1233.40,1244.50,1233.40,1.84K,+0.52%
12-03-2018,1236.90,1225.40,1237.40,1224.20,0.94K,+1.09%
11-30-2018,1223.60,1227.50,1228.60,1219.40,0.60K,-0.35%
11-29-2018,1227.90,1224.20,1232.20,1224.20,1.71K,+0.35%
11-28-2018,1223.60,1214.30,1227.70,1210.50,247.17K,+0.84%
11-27-2018,1213.40,1222.60,1225.20,1211.40,307.89K,-0.74%
11-26-2018,1222.40,1223.90,1228.60,1221.70,267.32K,-0.07%
11-23-2018,1223.20,1226.80,1229.70,1220.30,240.35K,0.00%
11-22-2018,1223.20,1227.80,1229.20,1220.30,240.35K,-0.39%
11-21-2018,1228.00,1222.40,1230.90,1220.10,227.21K,+0.56%
11-20-2018,1221.20,1224.60,1229.50,1220.30,255.20K,-0.33%
11-19-2018,1225.30,1222.60,1226.50,1218.50,198.39K,+0.19%
11-16-2018,1223.00,1214.40,1226.00,1213.70,242.04K,+0.66%
11-15-2018,1215.00,1211.80,1217.00,1207.10,253.57K,+0.40%
11-14-2018,1210.10,1202.80,1217.20,1198.10,277.87K,+0.72%
11-13-2018,1201.40,1201.10,1205.50,1196.60,248.93K,-0.17%
11-12-2018,1203.50,1210.30,1212.00,1200.60,203.64K,-0.42%
11-09-2018,1208.60,1224.30,1224.60,1207.20,322.35K,-1.35%
11-08-2018,1225.10,1227.70,1228.50,1220.80,239.02K,-0.29%
11-07-2018,1228.70,1228.90,1238.40,1224.20,259.29K,+0.20%
11-06-2018,1226.30,1233.40,1237.80,1224.90,199.67K,-0.49%
11-05-2018,1232.30,1234.50,1236.80,1228.40,159.43K,-0.08%
11-02-2018,1233.30,1235.30,1238.40,1231.30,256.02K,-0.43%
11-01-2018,1238.60,1216.60,1239.30,1216.10,313.45K,+1.94%
10-31-2018,1215.00,1224.70,1225.00,1213.40,247.06K,-0.84%
10-30-2018,1225.30,1231.90,1232.50,1221.40,224.64K,+0.05%
10-29-2018,1224.70,1232.60,1232.70,1223.60,0.21K,-0.62%
10-26-2018,1232.40,1229.80,1242.60,1229.80,0.28K,+0.24%
10-25-2018,1229.50,1233.90,1238.40,1227.90,0.32K,+0.09%
10-24-2018,1228.40,1230.70,1235.30,1225.90,0.37K,-0.46%
10-23-2018,1234.10,1223.10,1240.30,1222.70,0.34K,+0.99%
10-22-2018,1222.00,1227.90,1228.50,1220.50,0.12K,-0.33%
10-19-2018,1226.00,1226.70,1231.20,1223.70,0.12K,-0.11%
10-18-2018,1227.40,1222.80,1230.20,1219.50,0.25K,+0.21%
10-17-2018,1224.80,1226.40,1230.00,1221.60,0.21K,-0.29%
10-16-2018,1228.40,1228.00,1233.40,1224.50,0.34K,+0.05%
10-15-2018,1227.80,1218.20,1234.30,1218.20,0.34K,+0.68%
10-12-2018,1219.50,1224.40,1224.40,1217.10,0.30K,-0.46%
10-11-2018,1225.10,1195.30,1227.00,1192.30,0.98K,+2.88%
10-10-2018,1190.80,1189.90,1195.30,1186.00,0.29K,+0.17%
10-09-2018,1188.80,1189.60,1192.50,1184.00,0.20K,+0.25%
10-08-2018,1185.80,1204.60,1204.60,1184.60,0.32K,-1.41%
10-05-2018,1202.80,1200.70,1205.90,1199.00,0.20K,+0.33%
10-04-2018,1198.80,1198.30,1207.60,1197.20,0.15K,-0.11%
10-03-2018,1200.10,1204.40,1209.10,1198.10,0.21K,-0.34%
10-02-2018,1204.20,1191.30,1209.10,1190.10,0.80K,+1.24%
10-01-2018,1189.40,1193.90,1193.90,1186.50,0.21K,-0.38%
09-28-2018,1193.90,1184.60,1194.30,1182.60,0.41K,+0.71%
09-27-2018,1185.50,1196.80,1200.40,1184.20,0.34K,-0.75%
09-26-2018,1194.40,1200.30,1201.30,1190.00,17.86K,-0.44%
09-25-2018,1199.70,1198.10,1202.50,1196.60,14.90K,+0.01%
09-24-2018,1199.60,1199.50,1203.90,1194.10,9.70K,+0.25%
09-21-2018,1196.60,1207.40,1210.80,1191.80,6.85K,-0.83%
09-20-2018,1206.60,1204.40,1208.50,1201.00,7.49K,+0.22%
09-19-2018,1203.90,1198.40,1206.40,1198.30,6.80K,+0.45%
09-18-2018,1198.50,1201.90,1203.50,1196.10,4.13K,-0.22%
09-17-2018,1201.20,1194.70,1205.00,1193.00,6.10K,+0.42%
09-14-2018,1196.20,1201.80,1208.50,1192.90,6.82K,-0.55%
09-13-2018,1202.80,1207.00,1212.40,1200.00,13.99K,-0.22%
09-12-2018,1205.50,1197.70,1208.30,1192.40,5.02K,+0.73%
09-11-2018,1196.80,1195.40,1199.50,1187.40,6.84K,+0.19%
09-10-2018,1194.50,1195.40,1198.50,1190.90,6.24K,-0.05%
09-07-2018,1195.10,1200.30,1203.50,1193.50,8.27K,-0.33%
09-06-2018,1199.00,1197.00,1207.40,1195.70,10.08K,+0.24%
09-05-2018,1196.10,1192.00,1198.90,1191.60,6.88K,+0.18%
09-04-2018,1194.00,1201.10,1204.50,1190.43,10.11K,-0.43%
09-03-2018,1199.10,1207.00,1207.60,1195.10,421.47K,-0.21%
08-31-2018,1201.60,1201.50,1209.70,1199.10,5.65K,+0.13%
08-30-2018,1200.00,1207.70,1209.00,1197.20,5.16K,-0.35%
08-29-2018,1204.20,1200.90,1205.80,1200.90,0.82K,-0.27%
08-28-2018,1207.50,1210.90,1213.80,1199.60,1.22K,-0.14%
08-27-2018,1209.20,1206.30,1211.50,1202.30,0.73K,+0.24%
08-24-2018,1206.30,1185.30,1207.90,1183.00,0.59K,+1.61%
08-23-2018,1187.20,1196.10,1196.50,1183.50,0.48K,-0.77%
08-22-2018,1196.40,1196.00,1201.10,1193.00,0.38K,+0.27%
08-21-2018,1193.20,1190.60,1197.00,1187.70,0.47K,+0.45%
08-20-2018,1187.80,1183.90,1190.30,1182.90,0.25K,+0.89%
08-17-2018,1177.30,1173.70,1184.70,1172.10,0.54K,+0.02%
08-16-2018,1177.10,1175.80,1181.70,1160.40,1.35K,-0.09%
08-15-2018,1178.20,1194.20,1194.80,1173.20,1.13K,-1.32%
08-14-2018,1194.00,1194.50,1199.00,1192.50,0.79K,+0.15%
08-13-2018,1192.20,1211.60,1214.50,1191.80,1.54K,-1.64%
08-10-2018,1212.10,1212.90,1217.70,1206.50,0.82K,-0.07%
08-09-2018,1213.00,1214.30,1218.20,1212.00,0.51K,-0.10%
08-08-2018,1214.20,1211.50,1216.40,1207.00,0.63K,+0.25%
08-07-2018,1211.20,1209.20,1216.90,1209.00,1.06K,+0.05%
08-06-2018,1210.60,1215.20,1218.70,1207.50,0.70K,-0.44%
08-03-2018,1215.90,1209.30,1221.10,1205.30,1.00K,+0.25%
08-02-2018,1212.90,1218.70,1222.60,1208.40,1.62K,-0.61%
08-01-2018,1220.30,1225.60,1226.50,1217.20,0.89K,-0.50%
07-31-2018,1226.40,1223.50,1230.60,1215.80,1.10K,+0.18%
07-30-2018,1224.20,1225.80,1227.10,1221.70,1.69K,+0.10%
07-27-2018,1223.00,1222.40,1226.90,1216.70,254.43K,-0.22%
07-26-2018,1225.70,1231.70,1235.30,1221.70,285.61K,-0.50%
07-25-2018,1231.80,1224.20,1234.30,1223.20,272.25K,+0.51%
07-24-2018,1225.50,1224.40,1229.70,1218.10,299.06K,-0.01%
07-23-2018,1225.60,1231.70,1235.20,1222.20,333.33K,-0.45%
07-20-2018,1231.10,1222.90,1232.40,1215.30,355.23K,+0.58%
07-19-2018,1224.00,1227.30,1229.60,1210.70,428.88K,-0.32%
07-18-2018,1227.90,1227.00,1229.10,1220.90,283.98K,+0.05%
07-17-2018,1227.30,1240.80,1245.10,1225.90,318.22K,-1.00%
07-16-2018,1239.70,1241.00,1245.80,1238.30,186.30K,-0.12%
07-13-2018,1241.20,1247.70,1248.50,1236.20,257.31K,-0.43%
07-12-2018,1246.60,1242.30,1248.80,1241.40,220.96K,+0.18%
07-11-2018,1244.40,1256.70,1257.30,1241.70,299.64K,-0.88%
07-10-2018,1255.40,1258.50,1261.00,1247.70,272.63K,-0.33%
07-09-2018,1259.60,1255.70,1266.90,1255.70,238.97K,+0.30%
07-06-2018,1255.80,1258.40,1260.20,1253.70,200.19K,-0.24%
07-05-2018,1258.80,1253.50,1262.40,1252.20,392.95K,0.00%
07-04-2018,1258.80,1257.70,1261.00,1252.20,392.95K,+0.42%
07-03-2018,1253.50,1242.90,1258.50,1238.80,297.34K,+0.95%
07-02-2018,1241.70,1253.40,1255.60,1240.60,262.87K,-1.02%
06-29-2018,1254.50,1249.50,1257.10,1246.90,226.20K,+0.28%
06-28-2018,1251.00,1253.60,1255.80,1247.20,241.82K,-0.16%
06-27-2018,1253.00,1258.20,1259.00,1249.50,1.16K,-0.40%
06-26-2018,1258.00,1266.40,1266.50,1255.00,0.50K,-0.73%
06-25-2018,1267.20,1271.00,1272.30,1264.60,0.29K,-0.13%
06-22-2018,1268.90,1267.40,1270.50,1266.60,0.51K,+0.02%
06-21-2018,1268.60,1268.50,1269.90,1261.80,0.75K,-0.30%
06-20-2018,1272.40,1275.20,1276.00,1267.50,0.47K,-0.32%
06-19-2018,1276.50,1278.60,1284.10,1271.10,0.45K,-0.12%
06-18-2018,1278.00,1279.00,1282.60,1277.60,0.42K,+0.13%
06-15-2018,1276.30,1304.20,1304.50,1276.00,1.53K,-2.29%
06-14-2018,1306.20,1300.40,1310.80,1298.90,0.72K,+0.54%
06-13-2018,1299.20,1297.20,1302.70,1292.70,0.63K,+0.15%
06-12-2018,1297.20,1301.50,1301.80,1294.20,0.48K,-0.29%
06-11-2018,1301.00,1300.70,1304.60,1296.00,0.40K,+0.04%
06-08-2018,1300.50,1299.40,1302.20,1295.00,0.45K,-0.02%
06-07-2018,1300.70,1298.60,1305.10,1296.90,0.39K,+0.12%
06-06-2018,1299.20,1298.60,1303.20,1295.90,0.69K,-0.05%
06-05-2018,1299.90,1294.20,1302.50,1291.20,0.77K,+0.37%
06-04-2018,1295.10,1294.90,1299.70,1291.80,0.54K,-0.15%
